match_id,period,possession,pos_team,opp_team_id,start_x,start_y,zx,zy,zone_id,start_minute_evt,a_type,y_shot_for,p_rf
3764230,1,2,749,972,61.0,40.1,6.0,4.0,6_4,0.0,Pass,0,0.021948657398108473
3764230,1,3,749,972,71.5,72.9,7.0,7.0,7_7,0.0,Pass,0,0.1736225528400551
3764230,1,4,749,972,56.5,0.1,5.0,0.0,5_0,1.0,Pass,0,0.027963899279249946
3764230,1,5,972,749,70.6,8.1,7.0,0.0,7_0,1.0,Ball Recovery,0,0.14420272913811644
3764230,1,6,749,972,48.1,80.0,4.0,7.0,4_7,1.0,Pass,0,0.0991526815356635
3764230,1,7,972,749,58.4,0.1,5.0,0.0,5_0,2.0,Pass,0,0.03980339749099887
3764230,1,8,749,972,57.0,54.8,5.0,5.0,5_5,2.0,Pass,0,0.06507957807731067
3764230,1,9,972,749,35.3,0.1,3.0,0.0,3_0,3.0,Pass,0,0.05473966914572866
3764230,1,10,972,749,20.0,80.0,1.0,7.0,1_7,3.0,Pass,0,0.03384405418566479
3764230,1,11,972,749,35.9,80.0,3.0,7.0,3_7,4.0,Pass,0,0.13507793670843066
3764230,1,12,749,972,22.0,65.2,2.0,6.0,2_6,4.0,Pass,0,0.03585908730419504
3764230,1,13,972,749,63.4,0.1,6.0,0.0,6_0,5.0,Pass,0,0.13309939016147543
3764230,1,14,749,972,69.5,60.7,6.0,6.0,6_6,5.0,Ball Recovery,0,0.252707749688714
3764230,1,15,972,749,13.4,51.3,1.0,5.0,1_5,5.0,Pass,0,0.014711401175463008
3764230,1,16,749,972,32.6,7.6,3.0,0.0,3_0,5.0,Ball Recovery,0,0.0490241700052176
3764230,1,17,749,972,66.9,80.0,6.0,7.0,6_7,6.0,Pass,0,0.25845798925553504
3764230,1,18,972,749,14.3,80.0,1.0,7.0,1_7,6.0,Pass,0,0.02075055734120267
3764230,1,19,749,972,55.3,10.2,5.0,1.0,5_1,6.0,Ball Recovery,0,0.0944628421354751
3764230,1,21,972,749,29.7,44.9,2.0,4.0,2_4,7.0,Ball Receipt*,0,0.03549768210771735
3764230,1,22,972,749,29.7,44.9,2.0,4.0,2_4,7.0,Pass,0,0.09240648011335241
3764230,1,23,972,749,20.9,21.3,2.0,2.0,2_2,7.0,Pass,0,0.02940052486366843
3764230,1,24,972,749,45.7,2.8,4.0,0.0,4_0,7.0,Pass,0,0.023081194443257597
3764230,1,25,749,972,46.4,74.0,4.0,7.0,4_7,7.0,Pass,0,0.08185540577647883
3764230,1,26,972,749,43.7,0.1,4.0,0.0,4_0,8.0,Pass,0,0.035899100336018695
3764230,1,27,749,972,45.0,72.4,4.0,7.0,4_7,8.0,Pass,0,0.06816078376002353
3764230,1,28,972,749,72.2,16.6,7.0,1.0,7_1,8.0,Ball Recovery,0,0.23316388868610943
3764230,1,29,749,972,20.6,56.2,2.0,5.0,2_5,9.0,Ball Receipt*,0,0.03688993403594783
3764230,1,30,972,749,83.2,11.4,8.0,1.0,8_1,10.0,Pressure,0,0.0894770769473117
3764230,1,31,749,972,48.1,77.9,4.0,7.0,4_7,11.0,Pass,0,0.06464304204601683
3764230,1,32,749,972,67.0,74.9,6.0,7.0,6_7,11.0,Pass,1,0.5851153789352261
3764230,1,34,972,749,12.2,21.6,1.0,2.0,1_2,11.0,Ball Receipt*,0,0.0072745708285715
3764230,1,35,972,749,14.3,19.9,1.0,1.0,1_1,11.0,Pass,0,0.07153141111404501
3764230,1,36,972,749,25.4,3.1,2.0,0.0,2_0,12.0,Pass,0,0.011410008665927538
3764230,1,37,972,749,21.1,13.8,2.0,1.0,2_1,12.0,Pass,0,0.053567457511567086
3764230,1,38,749,972,95.8,80.0,9.0,7.0,9_7,12.0,Pass,0,0.28354397517500146
3764230,1,39,972,749,63.1,39.7,6.0,3.0,6_3,12.0,Ball Receipt*,0,0.16441197354327014
3764230,1,40,749,972,39.2,34.1,3.0,3.0,3_3,12.0,Pass,0,0.10908563208920338
3764230,1,41,749,972,64.2,0.1,6.0,0.0,6_0,13.0,Pass,0,0.1519019174378019
3764230,1,42,749,972,112.6,0.1,11.0,0.0,11_0,14.0,Pass,0,0.35874009932267936
3764230,1,43,972,749,15.7,80.0,1.0,7.0,1_7,14.0,Pass,0,0.016483715031243767
3764230,1,44,749,972,62.6,15.2,6.0,1.0,6_1,14.0,Pass,0,0.1288977284008555
